 

stn;time;t12200ds;rka150d0;ure200d0;hto000d0;fhh010dx
LUZ;20230219;13.6;0.0;76.6;0;4.0
LUZ;20230220;11.5;0.0;72.4;0;2.5
LUZ;20230221;13.1;0.0;70.0;0;1.8
LUZ;20230222;13.3;2.8;72.2;0;2.4
LUZ;20230223;13.4;0.4;81.2;0;2.6
LUZ;20230224;12.9;4.6;78.3;0;2.6
LUZ;20230225;5.1;2.8;80.7;0;4.5
LUZ;20230226;-0.1;0.0;61.5;0;8.8
LUZ;20230227;1.4;0.0;64.0;0;7.2
LUZ;20230228;0.8;0.0;69.2;0;3.5
LUZ;20230301;1.9;0.0;71.6;0;2.8
LUZ;20230302;5.1;0.0;72.2;0;2.1
LUZ;20230303;3.0;0.0;79.7;0;1.6
LUZ;20230304;8.0;0.0;72.0;0;2.6
LUZ;20230305;4.3;0.0;74.0;0;2.2
LUZ;20230306;4.3;0.0;70.3;0;2.8
LUZ;20230307;7.2;0.0;64.0;0;5.4
LUZ;20230308;7.0;5.7;73.9;0;7.1
LUZ;20230309;16.2;0.6;52.9;0;5.4
LUZ;20230310;10.6;5.9;66.9;0;10.1
LUZ;20230311;1.2;23.1;93.7;2;5.8
LUZ;20230312;6.0;4.2;88.9;3;3.4
LUZ;20230313;14.8;18.1;67.8;0;7.1
LUZ;20230314;8.1;12.5;76.9;0;7.6
LUZ;20230315;7.2;2.1;63.2;0;3.7
LUZ;20230316;9.8;0.0;65.1;0;2.3
LUZ;20230317;14.3;0.0;66.8;0;3.0
LUZ;20230318;15.8;0.0;62.7;0;2.1
LUZ;20230319;14.5;10.1;73.9;0;4.4
LUZ;20230320;11.1;0.4;77.4;0;2.2
LUZ;20230321;13.0;0.0;74.1;0;2.3
LUZ;20230322;16.9;0.0;63.7;0;2.5
LUZ;20230323;17.8;0.0;63.2;0;3.0
LUZ;20230324;12.7;8.8;79.6;0;6.1
LUZ;20230325;10.7;3.3;71.1;0;9.0
LUZ;20230326;11.0;11.4;77.4;0;9.1
LUZ;20230327;3.4;7.6;76.2;0;4.6
LUZ;20230328;7.9;0.0;63.7;0;6.0
LUZ;20230329;13.5;0.2;66.1;0;5.0
LUZ;20230330;16.0;3.1;69.6;0;8.0
LUZ;20230331;14.8;6.4;62.7;0;9.8
LUZ;20230401;11.6;0.8;58.6;0;7.4
LUZ;20230402;10.3;8.4;74.5;0;3.7
LUZ;20230403;5.1;0.4;70.4;0;5.1
LUZ;20230404;7.0;0.0;55.4;0;4.7
LUZ;20230405;8.1;0.0;51.9;0;3.0
LUZ;20230406;12.3;0.0;48.7;0;3.6
LUZ;20230407;5.1;3.2;77.4;0;3.2
LUZ;20230408;10.3;0.3;75.6;0;3.8
LUZ;20230409;11.1;0.0;69.0;0;3.2
LUZ;20230410;15.6;0.0;62.3;0;3.3
LUZ;20230411;9.3;11.8;79.1;0;5.3
LUZ;20230412;15.2;3.8;72.8;0;7.8
LUZ;20230413;6.7;6.5;69.7;0;5.2
LUZ;20230414;11.8;0.0;63.6;0;2.6
LUZ;20230415;7.5;11.1;81.9;0;2.4
LUZ;20230416;6.9;23.2;91.3;0;2.0
LUZ;20230417;12.2;2.3;74.7;0;4.2
LUZ;20230418;13.8;0.0;67.6;0;3.2
LUZ;20230419;11.1;0.0;73.5;0;3.6
LUZ;20230420;5.8;4.3;85.3;0;3.0
LUZ;20230421;9.9;0.0;82.5;0;2.3
LUZ;20230422;16.7;0.0;73.6;0;2.3
LUZ;20230423;16.6;13.6;83.8;0;4.5
LUZ;20230424;13.6;0.8;58.1;0;6.1
LUZ;20230425;8.0;3.8;70.1;0;4.0
LUZ;20230426;13.9;0.0;69.4;0;2.4
LUZ;20230427;17.8;0.0;66.4;0;2.7
LUZ;20230428;14.0;20.9;87.8;0;2.3
LUZ;20230429;18.1;6.8;81.8;0;3.3
LUZ;20230430;14.4;1.4;78.5;0;2.2

