didok;stationsbezeichnung;datum;feiertag;wochentag;national;servicetyp;servicename;closed;von1;bis1;von2;bis2;von3;bis3;unternehmung;key;bpuic
8391;Stans;01.11.2023;Allerheiligen;Wednesday;ja;2102;Reisebüro KTU;;07:15;17:00;;;;;ZB;8391-2023-11-01T00:00:00-2102;8508391
8391;Stans;15.08.2023;Maria Himmelfahrt;Tuesday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:15;17:00;;;;;ZB;8391-2023-08-15T00:00:00-100;8508391
8391;Stans;15.08.2023;Maria Himmelfahrt;Tuesday;ja;2102;Reisebüro KTU;;07:15;17:00;;;;;ZB;8391-2023-08-15T00:00:00-2102;8508391
8391;Stans;01.08.2023;Bundesfeiertag;Tuesday;ja;500;Gepäck;;08:00;12:00;13:00;16:00;;;ZB;8391-2023-08-01T00:00:00-500;8508391
8391;Stans;01.08.2023;Bundesfeiertag;Tuesday;ja;1000;Geldwechsel;;08:00;12:00;13:00;16:00;;;ZB;8391-2023-08-01T00:00:00-1000;8508391
8391;Stans;08.06.2023;Fronleichnam;Thursday;ja;500;Gepäck;;07:15;17:00;;;;;ZB;8391-2023-06-08T00:00:00-500;8508391
8391;Stans;08.06.2023;Fronleichnam;Thursday;ja;1000;Geldwechsel;;07:15;17:00;;;;;ZB;8391-2023-06-08T00:00:00-1000;8508391
8391;Stans;08.06.2023;Fronleichnam;Thursday;ja;1100;Western Union;;07:15;17:00;;;;;ZB;8391-2023-06-08T00:00:00-1100;8508391
8391;Stans;29.05.2023;Pfingstmontag;Monday;ja;2139;Aufgabezeiten Fluggepäck nach Zürich Flughafen;;08:00;12:00;13:00;16:00;;;ZB;8391-2023-05-29T00:00:00-2139;8508391
8391;Stans;18.05.2023;Auffahrt;Thursday;ja;2139;Aufgabezeiten Fluggepäck nach Zürich Flughafen;;08:00;12:00;13:00;16:00;;;ZB;8391-2023-05-18T00:00:00-2139;8508391
