Date Created,Tweets
2023-04-27 09:56:32+00:00,"Aufgehoben: Einschränkung Bern: 27.04.2023 11:46 - 14:46

Die Einschränkung des Bahnverkehrs im Bahnhof Bern ist aufgehoben.
Es ist noch mit Verspätungen und vereinzelten Ausfällen zu rechnen. https://t.co/bANNSYufw2"
2023-04-27 09:50:02+00:00,"Einschränkung Bern: 27.04.2023 11:46 - 14:46

Der Bahnverkehr im Bahnhof Bern ist eingeschränkt.
Grund dafür ist eine Fahrleitungsstörung.
Es ist mit Verspätungen und Ausfällen zu rechnen.
Wir werden so rasch als möglich weiter informieren. https://t.co/EUAjd0QFBu"
2023-04-27 09:09:31+00:00,"Aufgehoben: Unterbruch Uster - Schwerzenbach ZH: 27.04.2023 08:43 - 11:02

Der Unterbruch des Bahnverkehrs auf der Strecke Wetzikon ZH - Zürich HB zwischen Uster und Schwerzenbach ZH ist aufgehoben.
Es ist noch mit Verspätungen und vereinzelten Ausfällen… https://t.co/WkyTtPihXc"
2023-04-27 08:41:02+00:00,"Unterbruch Uster - Schwerzenbach ZH: 27.04.2023 08:43 - 11:10

Der Bahnverkehr auf der Strecke Wetzikon ZH - Zürich HB ist zwischen Uster und Schwerzenbach ZH unterbrochen.
Die Einschränkung dauert bis ca. 11:00.
Betroffen sind die Linien S5, S9, S14,… https://t.co/UnNaOr7rhR"
2023-04-27 07:42:33+00:00,"Unterbruch Uster - Schwerzenbach ZH: 27.04.2023 08:43 - 11:43

Der Bahnverkehr auf der Strecke Wetzikon ZH - Zürich HB ist zwischen Uster und Schwerzenbach ZH unterbrochen.
Die Einschränkung dauert bis ca. 11:00.
Betroffen sind die Linien S5, S9, S14,… https://t.co/9B4dUbViPE"
2023-04-27 06:57:34+00:00,"Aufgehoben: Unterbruch Colmar - Strasbourg: 27.04.2023 07:45 - 09:25

Der Unterbruch des Bahnverkehrs auf der Strecke Basel SBB - Strasbourg zwischen Colmar und Strasbourg ist aufgehoben.
Es ist noch mit Verspätungen zu rechnen. https://t.co/QhzModxxSQ"
2023-04-27 06:57:33+00:00,"Unterbruch Uster - Schwerzenbach ZH: 27.04.2023 08:43 - 11:43

Der Bahnverkehr auf der Strecke Wetzikon ZH - Zürich HB ist zwischen Uster und Schwerzenbach ZH unterbrochen.
Die Dauer der Einschränkung ist unbestimmt.
Betroffen sind die Linien S5, S9,… https://t.co/aPHJYClJYj"
2023-04-27 05:56:04+00:00,"Unterbruch Colmar - Strasbourg: 27.04.2023 07:45 - 10:45

Der Bahnverkehr auf der Strecke Basel SBB - Strasbourg ist zwischen Colmar und Strasbourg unterbrochen.
Grund dafür sind Personen in Gleisnähe.
Die Dauer der Einschränkung ist unbestimmt.… https://t.co/bXEBIz5Cxw"
2023-04-26 15:00:34+00:00,"Aufgehoben: Einschränkung Zürich Selnau - Zürich Giesshübel: 26.04.2023 16:26 - 16:58

Die Einschränkung des Bahnverkehrs auf der Strecke Zürich HB SZU - Langnau-Gattikon zwischen Zürich Selnau und Zürich Giesshübel ist aufgehoben.
Die Züge verkehren… https://t.co/beY4yhwHIA"
2023-04-26 14:54:02+00:00,"Aufgehoben: Einschränkung Zürich Selnau - Zürich Giesshübel: 26.04.2023 16:26 - 18:00

Die Einschränkung des Bahnverkehrs auf der Strecke Zürich HB SZU - Langnau-Gattikon zwischen Zürich Selnau und Zürich Giesshübel ist aufgehoben.
Die Züge verkehren… https://t.co/djW4sPb8YR"
