Date Created,Tweets,Einschr_type,haltestellen,linien,von,bis
2023-05-02 03:48:02+00:00,"einschränkung zürich hb, gleise 31-34: 02.05.2023 05:41 - 09:45

der bahnverkehr im bahnhof zürich hb, gleise 31-34 ist eingeschränkt.
der grund dafür ist eine technische störung an der bahnanlage.
die einschränkung dauert bis 02.05.2023, ca. 09:15.… ",Einschränkung,zürich hb,EC,2023-05-02 05:41:00,2023-05-02 09:45:00
2023-05-01 04:07:02+00:00,"aufgehoben: einschränkung chénens - romont fr: 01.05.2023 05:12 - 06:01

die einschränkung des bahnverkehrs auf der strecke bern - lausanne zwischen chénens und romont fr ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,bern,EC,2023-05-01 05:12:00,2023-05-01 06:01:00
2023-04-29 19:19:33+00:00,"aufgehoben: unterbruch delémont - laufen: 29.04.2023 20:53 - 21:14

der unterbruch des bahnverkehrs auf der strecke delémont - basel sbb zwischen delémont und laufen ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,basel sbb,EC,2023-04-29 20:53:00,2023-04-29 21:14:00
2023-04-28 21:32:32+00:00,"unterbruch bad krozingen - basel sbb: 28.04.2023 21:38 - 29.04.2023 00:30

der bahnverkehr auf der strecke freiburg (breisgau) hbf - basel sbb ist zwischen bad krozingen und basel sbb unterbrochen.
die einschränkung dauert bis 29.04.2023, ca. 00:30.
es… ",Unterbruch,basel sbb,EC,2023-04-28 21:38:00,2023-04-29 00:30:00
2023-04-28 19:55:02+00:00,"unterbruch bad krozingen - basel sbb: 28.04.2023 21:38 - 23:59

der bahnverkehr auf der strecke freiburg (breisgau) hbf - basel sbb ist zwischen bad krozingen und basel sbb unterbrochen.
die dauer der einschränkung ist unbestimmt.
es ist mit verspätungen… ",Unterbruch,basel sbb,EC,2023-04-28 21:38:00,2023-04-28 23:59:00
2023-04-28 18:35:32+00:00,"einschränkung zürich hb, gleise 31-34: 28.04.2023 20:30 - 20:50

der bahnverkehr im bahnhof zürich hb, gleise 31-34 ist eingeschränkt.
grund dafür ist eine technische störung an der bahnanlage.
die dauer der einschränkung ist unbestimmt.
es ist mit… ",Einschränkung,zürich hb,EC,2023-04-28 20:30:00,2023-04-28 20:50:00
2023-04-28 07:52:33+00:00,"aufgehoben: einschränkung gümligen - münsingen: 28.04.2023 05:48 - 09:51

die einschränkung des bahnverkehrs auf der strecke bern - thun zwischen gümligen und münsingen ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,bern,EC,2023-04-28 05:48:00,2023-04-28 09:51:00
2023-04-28 06:20:34+00:00,"einschränkung gümligen - münsingen: 28.04.2023 05:48 - 09:30

der bahnverkehr auf der strecke bern - thun ist zwischen gümligen und münsingen eingeschränkt.
die einschränkung dauert bis 28.04.2023, ca. 09:30.
betroffen sind die linien ic6, ic61, re, s1.… ",Einschränkung,bern,IC6,2023-04-28 05:48:00,2023-04-28 09:30:00
2023-04-28 05:45:02+00:00,"unterbruch gümligen - münsingen: 28.04.2023 05:48 - 08:48

der bahnverkehr auf der strecke bern - thun ist zwischen gümligen und münsingen unterbrochen.
die einschränkung dauert bis 28.04.2023, ca. 09:30.
betroffen sind die linien ic6, ic8, ic61, ic81,… ",Unterbruch,bern,IC8,2023-04-28 05:48:00,2023-04-28 08:48:00
2023-04-27 18:22:03+00:00,"aufgehoben: einschränkung bern europaplatz - bern weissenbühl: 27.04.2023 19:21 - 20:17

die einschränkung des bahnverkehrs auf der strecke bern - belp zwischen bern europaplatz und bern weissenbühl ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,bern,EC,2023-04-27 19:21:00,2023-04-27 20:17:00
2023-04-27 13:46:07+00:00,"aufgehoben: einschränkung colmar - strasbourg: 27.04.2023 14:29 - 15:36

die einschränkung des bahnverkehrs auf der strecke basel sbb - strasbourg zwischen colmar und strasbourg ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,basel sbb,EC,2023-04-27 14:29:00,2023-04-27 15:36:00
2023-04-27 09:09:31+00:00,"aufgehoben: unterbruch uster - schwerzenbach zh: 27.04.2023 08:43 - 11:02

der unterbruch des bahnverkehrs auf der strecke wetzikon zh - zürich hb zwischen uster und schwerzenbach zh ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen… ",Aufgehoben:,zürich hb,EC,2023-04-27 08:43:00,2023-04-27 11:02:00
2023-04-26 15:00:34+00:00,"aufgehoben: einschränkung zürich selnau - zürich giesshübel: 26.04.2023 16:26 - 16:58

die einschränkung des bahnverkehrs auf der strecke zürich hb szu - langnau-gattikon zwischen zürich selnau und zürich giesshübel ist aufgehoben.
die züge verkehren… ",Aufgehoben:,zürich hb,EC,2023-04-26 16:26:00,2023-04-26 16:58:00
2023-04-25 18:57:34+00:00,"aufgehoben: unterbruch freiburg (breisgau) hbf - offenburg: 25.04.2023 18:11 - 21:11

der unterbruch des bahnverkehrs auf der strecke basel sbb - karlsruhe hbf zwischen freiburg (breisgau) hbf und offenburg ist aufgehoben.
es ist noch mit verspätungen zu… ",Aufgehoben:,basel sbb,EC,2023-04-25 18:11:00,2023-04-25 21:11:00
